table_key,page_start,page_end,title_guess,section,table_family,column_pattern,entities,periods,continuation_candidate,continuation_group,confidence,review_reasons
2024-2025-p014,14,14,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,continuation-001,medium,[]
2024-2025-p015,15,15,Charlottetown Water and Sewer,Operating Budget,operating_statement,item | budget (2024/2025),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/2025""]",True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p016,16,16,Charlottetown Water and Sewer,Operating Budget,operating_statement,item | budget (2024/2025),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/2025""]",True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p019,19,19,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,medium,[]
2024-2025-p021,21,21,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,continuation-002,medium,[]
2024-2025-p022,22,22,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",True,continuation-002,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p024,24,24,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,medium,[]
2024-2025-p026,26,26,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,high,[]
2024-2025-p028,28,28,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,medium,[]
2024-2025-p030,30,30,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,medium,[]
2024-2025-p032,32,32,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,medium,[]
2024-2025-p034,34,34,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,continuation-003,medium,[]
2024-2025-p035,35,35,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",True,continuation-003,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p037,37,37,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,medium,[]
2024-2025-p039,39,39,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,medium,[]
2024-2025-p041,41,41,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,medium,[]
2024-2025-p043,43,43,2024/2025 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,,high,[]
2024-2025-p045,45,45,City of Charlottetown and Charlottetown Water & Sewer,Capital Budget,capital_budget_schedule,"item | budget (2023/2024, 2024/2025)","[""Bell Aliant Centre"", ""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",False,continuation-004,medium,[]
2024-2025-p046,46,46,2024/2025 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",True,continuation-004,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p047,47,47,Public Transit Facility,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2024/2025"", ""2025"", ""2025/2026"", ""2026"", ""2026/2027"", ""2027/2028"", ""2028/2029""]",False,,medium,[]
2024-2025-p048,48,48,2024/2025 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",False,continuation-005,medium,[]
2024-2025-p049,49,49,2024/2025 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2024/2025""]",True,continuation-005,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p050,50,50,Replacement Fast Rescue,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",False,continuation-006,medium,[]
