decision_id,marker_type,source_file,object_id,pdf_page_start,pdf_page_end,bylaw_page_start,bylaw_page_end,source_section,raw_value,source_finding,approved_disposition,approved_normalized_value,required_action,review_status,reviewed_on
july-001,confidence,data/zoning/charlottetown-draft-2026-07-30/design-standards-500-lot-area.json,doc-design-standards-source-req-doc-design-standards-clause-6-11-1-a,50,50,46,46,6.11.1(a),"a continuous corridor at least 4 metres wide shall be provided along the waterfront for a public boardwalk;","PDF clause and visual page agree; 4 metres is the clause measurement.",approved,"minimum length 4 m","Promote the requirement and linked numeric value to high confidence; clear the marker during regeneration.",approved,2026-08-06
july-002,confidence,data/zoning/charlottetown-draft-2026-07-30/general-provisions-land-use.json,doc-general-provisions-source-req-doc-general-provisions-clause-4-14-1-e,39,39,35,35,4.14.1(e),"A pump island shall set back at least 6.1 m (20 ft) from the street line;","PDF clause matches the extracted text and both metric and imperial values.",approved,"minimum setback 6.1 m; source alternative 20 ft","Promote the requirement and linked numeric value to high confidence; clear the marker during regeneration.",approved,2026-08-06
july-003,confidence,data/zoning/charlottetown-draft-2026-07-30/permit-applications-processes.json,doc-other-source-req-doc-other-clause-2-8-4-a,13,13,9,9,2.8.4(a),"Provide written notice by ordinary mail, courier or by hand delivery advising all affected property owners within 100 m (328.1 ft) of the boundaries of the subject lot through notification in writing at least twenty (20) calendar days prior to the public meeting, of the date of the public meeting;","The clause continues onto PDF page 13/bylaw page 9; the existing normalized record captures the 100 m radius but not the separate twenty-calendar-day period.",approved_with_additional_numeric_value,"notification radius 100 m; notice period minimum 20 calendar days","Correct the citation to PDF 13/bylaw 9, add a second linked numeric value for 20 calendar days, and preserve the complete raw clause.",approved,2026-08-06
july-004,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/bp.json,zone-bp-req-zone-bp-clause-18-6-13-a,129,129,125,125,18.6.13(a),"A 1.8 m high (min.) opaque fence;","The clause is on PDF page 129, not the generated citation page 128; the 1.8 m value is exact.",approved_with_citation_correction,"minimum opaque-fence height 1.8 m","Correct the clause citation to PDF 129/bylaw 125, promote the requirement and numeric value, and clear the marker.",approved,2026-08-06
july-005,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/c.json,zone-c-term-term-single_detached_dwellings_in_accordance_with_the_rn_zone_requirements,161,161,157,157,27.3.1 (actual UE),"Single-detached dwellings in accordance with the RN Zone requirements","The JSON file is labeled C, but its content is not C material. PDF page 161 is Part 27 UE. This is a file-assignment defect, not a C-to-UE policy connection.",approved_source_reassignment_not_zone_mapping,"source clause belongs to UE; no C term; preserve raw clause","Remove the C record and assign this source content to UE only. Do not infer any C-to-UE relationship; keep the environmental constraints overlay separate.",approved,2026-08-06
july-006,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/c.json,zone-c-use-single-detached-dwellings-in-accordance-with-the-rn-zone-requirements-1-1,161,161,157,157,27.3.1 (actual UE),"Single-detached dwellings in accordance with the RN Zone requirements","The JSON file is labeled C, but its content is not C material. The permitted-use clause is on Part 27 UE page 161. This is a file-assignment defect, not a C-to-UE policy connection.",approved_source_reassignment_not_zone_mapping,"source use belongs to UE; no C base-zone use; single_detached_dwelling; status permitted; RN requirement reference","Remove the C record and assign this source use to UE only. Do not infer any C-to-UE relationship; keep the environmental constraints overlay separate.",approved,2026-08-06
july-007,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/dmu.json,zone-dmu-req-zone-dmu-clause-15-6-1,115,115,111,111,15.6.1,"See Sections 6.8 and 6.9 1.5 m","The PDF clause ends after 6.9; 1.5 m is a figure label on the same page and is not part of the clause.",approved_with_extraction_correction,"See Sections 6.8 and 6.9; no numeric value","Remove 1.5 m from clause text and numeric values, promote the corrected requirement, and clear the marker.",approved,2026-08-06
july-008,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/dw.json,zone-dw-req-zone-dw-clause-17-5-8,122,122,118,118,17.5.8,"Blank walls at the base of buildings are not permitted along the boardwalk, but underground parking may be permitted behind an active ground floor faÃ§ade that has no less than 12 m depth and is not visible from the street or boardwalk.","Visual PDF text reads façade; the clause says no less than 12 m, while the normalized comparator is incorrectly less_than.",approved_with_text_and_comparator_correction,"façade; minimum depth 12 m; comparator at_least","Replace mojibake with façade, change comparator to at_least, promote the corrected requirement, and clear the marker.",approved,2026-08-06
july-009,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/p.json,zone-p-term-term-marine_gas_station,139,139,135,135,21.3.1(a),"Marine Gas Station","PDF explicitly lists Marine Gas Station as the sole permitted use in P 21.3.1(a); no canonical seed term is equivalent.",approved_new_code,marine_gas_station,"Add marine_gas_station as an approved draft-origin term code and clear the marker.",approved,2026-08-06
july-010,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/p.json,zone-p-use-marine-gas-station-1-1,139,139,135,135,21.3.1(a),"Marine Gas Station","PDF explicitly lists Marine Gas Station as a permitted P use; the phrase is not an extraction artifact.",approved_new_code,"marine_gas_station; status permitted","Add marine_gas_station as an approved draft-origin use code and clear the marker.",approved,2026-08-06
