page_key,page_number,printed_page_label,content_type,disposition,section,title_guess,statement_class,table_candidate,table_family,text_extraction_method,embedded_character_count,ocr_character_count,ocr_word_count,ocr_mean_confidence,ocr_rotation_degrees,amount_token_count,numeric_line_count,periods,continuation_candidate,continuation_of_page_key,confidence,review_reasons
ctown_fs_ws_sa_2023_12_31_audited_p001,1,,cover,administrative_front_matter,Front matter,CHARLOTTETOWN WATER AND SEWER,,False,,ocr_full_page,0,110,14,94.0,0,0,1,"[""2023""]",False,,high,[]
ctown_fs_ws_sa_2023_12_31_audited_p002,2,,index,administrative_front_matter,Front matter,CONTENTS,,False,,ocr_full_page,0,288,41,95.89,0,0,1,[],False,,high,[]
ctown_fs_ws_sa_2023_12_31_audited_p003,3,,management_responsibility,administrative_front_matter,Front matter,MANAGEMENT'S RESPONSIBILITY FOR THE FINANCIAL STATEMENTS,,False,,ocr_full_page,0,1693,236,96.13,0,0,1,"[""2024""]",False,,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p004,4,,auditor_report,administrative_front_matter,Auditor report,INDEPENDENT AUDITOR'S REPORT,,False,,ocr_full_page,0,3476,509,96.27,0,0,2,"[""2023""]",False,,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p005,5,,auditor_report,administrative_front_matter,Auditor report,"° Identify and assess the risks of material misstatement of the financial statements, whether due to fraud",,False,,ocr_full_page,0,2193,334,93.98,0,0,1,"[""2024""]",False,,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p006,6,,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,financial_position,True,financial_position,ocr_full_page,0,787,119,90.83,0,20,15,"[""2022"", ""2023""]",False,,high,[]
ctown_fs_ws_sa_2023_12_31_audited_p007,7,4,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,changes_in_net_assets_available_for_benefits,True,changes_in_net_assets_available_for_benefits,ocr_full_page,0,972,150,94.19,0,28,18,"[""2022"", ""2023""]",False,,high,[]
ctown_fs_ws_sa_2023_12_31_audited_p008,8,3,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,changes_in_pension_obligations,True,changes_in_pension_obligations,ocr_full_page,0,680,100,94.52,0,18,13,"[""2022"", ""2023""]",False,,high,[]
ctown_fs_ws_sa_2023_12_31_audited_p009,9,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,2723,439,95.86,0,1,8,"[""1945"", ""2000"", ""2023""]",False,,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p010,10,,notes,financial_table_candidate,Notes,I eS,,True,note_disclosure_table,ocr_full_page,0,2891,460,96.01,0,0,8,"[""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p009,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p011,11,,notes,financial_table_candidate,Notes,ee ea ee),,True,note_disclosure_table,ocr_full_page,0,3549,562,95.49,0,0,3,"[""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p010,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p012,12,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,3021,456,96.2,0,0,3,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p011,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p013,13,,notes,financial_table_candidate,Notes,aC Pe,,True,note_disclosure_table,ocr_full_page,0,1731,275,93.64,0,41,23,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p012,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p014,14,,notes,financial_table_candidate,Notes,ee ee ee.,,True,note_disclosure_table,ocr_full_page,0,7238,194,89.88,0,36,13,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p013,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p015,15,,notes,financial_table_candidate,Notes,"a eee,",,True,note_disclosure_table,ocr_full_page,0,1822,280,95.36,0,14,14,"[""2022"", ""2023"", ""2025""]",True,ctown_fs_ws_sa_2023_12_31_audited_p014,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p016,16,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,2360,313,94.42,0,8,19,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p015,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p017,17,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,3286,526,96.2,0,0,5,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p016,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p018,18,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,1658,266,96.17,0,0,4,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p017,medium,[]
